Country,Date,CPI Inflation,Exchange Rate, Lending Interest Rate,World Oil Price,Global Economic Activity,wop_lag1,wop_lag2,gea_lag1,wop_pct_change,oil_moving_average,gea_moving_average,wop_volatility,Global_Pressure_Index,EXR_Log_Returns,CPI Inflation_Lag1,CPI Inflation_Lag2, Lending Interest Rate_Lag1, Lending Interest Rate_Lag2,EXR_Log_Returns_Lag1,EXR_Log_Returns_Lag2
S. AFRICA,01/07/2020,3.193832599,16.74999791,7.0,40.71521739,6.3642484,38.31454545,28.78142857,-28.708879,0.0626569338564344,28.023658006666665,-75.16451400000001,10.68993508741504,0.030808534511755,-0.03436170471213318,2.099447514,1.99556541,7.25,7.25,-0.008862959664568848,-0.032134283899520444
S. AFRICA,01/08/2020,3.076923077,16.70760029,7.0,42.37095238,-1.2751865,40.71521739,38.31454545,6.3642484,0.0406662446166052,35.93706380333333,-45.30144353333333,6.312142515443442,0.1178255223560788,-0.0025344104164748416,3.193832599,2.099447514,7.0,7.25,-0.03436170471213318,-0.008862959664568848
S. AFRICA,01/09/2020,2.847754655,16.84426133,7.0,39.59818182,-8.5477599,42.37095238,40.71521739,-1.2751865,-0.0654403643121509,40.46690507333333,-7.873272366666671,2.0395719037081546,0.2299118687910213,0.008146301824199398,3.076923077,3.193832599,7.0,7.0,-0.0025344104164748416,-0.03436170471213318
S. AFRICA,01/10/2020,3.285870756,16.2591051,7.0,39.405,5.985292,39.59818182,42.37095238,-8.5477599,-0.004878552779977,40.89478386333333,-1.1528993333333382,1.3950796512604895,0.0376707912018378,-0.035356959197963,2.847754655,3.076923077,7.0,7.0,0.008146301824199398,-0.0025344104164748416
S. AFRICA,01/11/2020,3.172866521,15.27669144,7.0,41.38904762,-26.442394,39.405,39.59818182,5.985292,0.0503501489658673,40.45804473333333,-1.2792181333333377,1.659440132214144,0.4314676482961664,-0.06232483420789103,3.285870756,2.847754655,7.0,7.0,-0.035356959197963,0.008146301824199398
S. AFRICA,01/12/2020,3.056768559,14.68594834,7.0,47.07043478,-21.42697,41.38904762,39.405,-26.442394,0.1372678881660143,40.13074314666667,-9.668287300000005,1.093996076137422,0.2733978587769072,-0.03943709010943053,3.172866521,3.285870756,7.0,7.0,-0.06232483420789103,-0.035356959197963
S. AFRICA,01/01/2021,3.267973856,15.00911053,7.0,51.84952381,7.2419723,47.07043478,41.38904762,-21.42697,0.1015305903235594,42.62149413333333,-13.96135733333334,3.9785570120057656,0.0099332384002354,0.021766244007791258,3.056768559,3.172866521,7.0,7.0,-0.03943709010943053,-0.06232483420789103
S. AFRICA,01/02/2021,2.912621359,14.96009395,7.0,59.2345,-2.9603552,51.84952381,47.07043478,7.2419723,0.1424309356641706,46.76966873666666,-13.542463900000008,5.236719936182078,0.0258455499210542,-0.003271132788353892,3.267973856,3.056768559,7.0,7.0,0.021766244007791258,-0.03943709010943053
S. AFRICA,01/03/2021,3.114930183,14.79734299,7.0,62.18391304,26.388991,59.2345,51.84952381,-2.9603552,0.0497921488321839,52.71815286333333,-5.715117633333339,6.128377272437186,-0.0094351784823325,-0.010938615656485684,2.912621359,3.267973856,7.0,7.0,-0.003271132788353892,0.021766244007791258
S. AFRICA,01/04/2021,4.540540541,14.39070476,7.0,61.41772727,46.300608,62.18391304,59.2345,26.388991,-0.0123212858847777,57.75597895000001,10.223536033333328,5.323478051119819,-0.0362892598243767,-0.02786514157277864,3.114930183,2.912621359,7.0,7.0,-0.010938615656485684,-0.003271132788353892
